project_id,project_name,department,location,project_type,start_date,expected_completion_date,budget,current_cost,planned_progress,actual_progress,status,project_duration_days,cost_variance,cost_variance_percentage,progress_variance,budget_utilization,is_delayed,predicted_final_cost_target,cost_overrun_target,delay_days_target,risk_score_target,risk_level_target
13,Kochi Metro Phase 2,Transport,Kochi,Metro Rail,2024-02-15,2027-06-30,1350000000,430000000,42,39,On Track,1231,-96500000.0,-7.148148148148148,3,31.851851851851855,1,1102564102.5641024,-18.328584995251674,9,24.925925925925927,LOW
14,Nagpur Logistics Park,Industries,Nagpur,Industrial Infrastructure,2023-06-01,2026-10-31,900000000,760000000,81,73,Delayed,1248,103000000.0,11.444444444444445,8,84.44444444444444,1,1041095890.4109589,15.67732115677321,24,89.11111111111111,HIGH
15,Patna Urban Flyover,Public Works,Patna,Flyover,2024-05-10,2027-02-28,500000000,290000000,52,46,At Risk,1024,60000000.0,12.0,6,57.99999999999999,1,630434782.6086956,26.086956521739125,18,71.0,HIGH
16,Gandhinagar Solar Park,Energy,Gandhinagar,Solar Energy,2024-01-01,2026-12-31,700000000,490000000,69,72,On Track,1095,-14000000.0,-2.0,-3,70.0,0,680555555.5555556,-2.777777777777774,0,35.0,MEDIUM
17,Indore Waste Processing Plant,Urban Development,Indore,Waste Management,2023-10-01,2026-05-31,280000000,295000000,96,89,Delayed,973,45800000.0,16.357142857142858,7,105.35714285714286,1,331460674.1573034,18.378812199036926,21,100.0,HIGH
18,Bhubaneswar Airport Expansion,Transport,Bhubaneswar,Airport Infrastructure,2024-03-15,2027-01-31,1000000000,420000000,47,44,On Track,1052,-20000000.0,-2.0,3,42.0,1,954545454.5454545,-4.545454545454549,9,30.0,LOW
19,Chandigarh Smart Water Network,Water Resources,Chandigarh,Water Infrastructure,2024-07-01,2026-12-31,260000000,180000000,61,54,At Risk,913,39600000.0,15.230769230769232,7,69.23076923076923,1,333333333.3333333,28.2051282051282,21,86.07692307692308,HIGH
20,Ranchi Highway Upgrade,Public Works,Ranchi,Highway,2023-12-01,2026-09-30,650000000,590000000,88,81,Delayed,1034,63500000.0,9.769230769230768,7,90.76923076923077,1,728395061.728395,12.060778727445383,21,85.92307692307692,HIGH
21,Ahmedabad Bus Rapid Transit Upgrade,Transport,Ahmedabad,Public Transport,2024-02-01,2026-08-31,410000000,300000000,73,70,On Track,942,13000000.0,3.1707317073170733,3,73.17073170731707,1,428571428.5714286,4.529616724738682,9,51.926829268292686,MEDIUM
22,Mumbai Affordable Housing Phase 2,Housing,Mumbai,Housing,2023-07-15,2027-03-31,1250000000,850000000,58,49,At Risk,1355,237500000.0,19.0,9,68.0,1,1734693877.5510204,38.775510204081634,27,99.0,HIGH
23,Delhi Electric Bus Infrastructure,Transport,Delhi,Public Transport,2024-05-01,2026-11-30,340000000,250000000,67,64,On Track,943,32400000.0,9.529411764705882,3,73.52941176470588,1,390625000.0,14.88970588235294,9,64.82352941176471,HIGH
24,Surat Riverfront Development,Urban Development,Surat,Urban Development,2023-09-01,2027-06-30,980000000,610000000,51,43,At Risk,1398,188600000.0,19.244897959183675,8,62.244897959183675,1,1418604651.1627908,44.75557664926437,24,93.61224489795919,HIGH
25,Pune Water Pipeline Modernization,Water Resources,Pune,Water Infrastructure,2024-01-15,2026-07-31,390000000,350000000,91,86,Delayed,928,14600000.0,3.743589743589744,5,89.74358974358975,1,406976744.18604654,4.353011329755523,15,67.35897435897436,HIGH
26,Chennai Outer Ring Road,Public Works,Chennai,Road Infrastructure,2023-04-01,2027-12-31,1600000000,920000000,57,50,At Risk,1735,120000000.0,7.5,7,57.49999999999999,1,1840000000.0,15.0,21,64.75,HIGH
27,Bengaluru Metro Station Upgrade,Transport,Bengaluru,Metro Rail,2024-06-01,2026-12-31,530000000,360000000,65,62,On Track,943,31400000.0,5.9245283018867925,3,67.9245283018868,1,580645161.2903225,9.55569080949482,9,54.81132075471698,MEDIUM
28,Jaipur Heritage Infrastructure,Urban Development,Jaipur,Urban Development,2024-02-10,2026-09-30,180000000,145000000,79,73,On Track,963,13600000.0,7.555555555555555,6,80.55555555555556,1,198630136.98630136,10.350076103500756,18,73.38888888888889,HIGH
29,Hyderabad Flood Management System,Water Resources,Hyderabad,Flood Management,2023-08-15,2026-10-31,470000000,430000000,84,72,Delayed,1173,91600000.0,19.48936170212766,12,91.48936170212765,1,597222222.2222222,27.068557919621743,36,100.0,HIGH
30,Kolkata Urban Mobility Project,Transport,Kolkata,Public Transport,2024-03-01,2027-03-31,780000000,390000000,45,41,At Risk,1125,70200000.0,9.0,4,50.0,1,951219512.195122,21.951219512195127,12,55.0,MEDIUM
31,Lucknow Ring Road Package 2,Public Works,Lucknow,Road Infrastructure,2023-06-15,2026-12-31,920000000,810000000,82,77,Delayed,1295,101600000.0,11.043478260869566,5,88.04347826086956,1,1051948051.9480519,14.34217955957086,15,81.1086956521739,HIGH
32,Bhopal Smart Lighting Network,Urban Development,Bhopal,Smart City,2024-04-15,2026-08-31,150000000,105000000,76,74,On Track,868,-6000000.0,-4.0,2,70.0,1,141891891.8918919,-5.405405405405403,6,41.0,MEDIUM
33,Kochi Port Modernization,Transport,Kochi,Port Infrastructure,2023-02-01,2027-06-30,1450000000,1080000000,68,61,At Risk,1610,195500000.0,13.482758620689655,7,74.48275862068967,1,1770491803.2786887,22.10288298473715,21,85.20689655172414,HIGH
34,Nagpur Metro Extension,Transport,Nagpur,Metro Rail,2024-01-20,2027-12-31,1750000000,460000000,38,35,On Track,1441,-152500000.0,-8.714285714285715,3,26.285714285714285,1,1314285714.2857144,-24.897959183673464,9,22.142857142857142,LOW
35,Patna Sewerage Improvement,Water Resources,Patna,Sewerage,2023-10-15,2026-11-30,330000000,315000000,90,82,Delayed,1142,44400000.0,13.454545454545455,8,95.45454545454545,1,384146341.46341467,16.407982261640807,24,98.63636363636363,HIGH
36,Gandhinagar Government Housing,Housing,Gandhinagar,Housing,2024-05-15,2027-02-28,420000000,210000000,49,45,On Track,1019,21000000.0,5.0,4,50.0,1,466666666.6666666,11.111111111111102,12,47.0,MEDIUM
37,Indore Urban Road Renewal,Public Works,Indore,Road Infrastructure,2024-02-01,2026-09-30,290000000,245000000,81,76,On Track,972,24600000.0,8.482758620689655,5,84.48275862068965,1,322368421.05263156,11.161524500907435,15,74.20689655172413,HIGH
38,Bhubaneswar Smart City Control Center,Urban Development,Bhubaneswar,Smart City,2023-11-01,2026-07-31,240000000,230000000,95,87,Delayed,1003,21200000.0,8.833333333333334,8,95.83333333333334,1,264367816.09195402,10.153256704980842,24,89.58333333333334,HIGH
39,Chandigarh Solar Rooftop Program,Energy,Chandigarh,Solar Energy,2024-06-15,2026-12-31,190000000,120000000,59,62,On Track,929,2200000.0,1.1578947368421053,-3,63.1578947368421,0,193548387.0967742,1.8675721561969425,0,33.89473684210526,MEDIUM
40,Ranchi Rural Road Connectivity,Public Works,Ranchi,Rural Roads,2023-09-01,2027-03-31,540000000,430000000,64,56,At Risk,1307,127600000.0,23.62962962962963,8,79.62962962962963,1,767857142.8571428,42.19576719576719,24,100.0,HIGH
41,Ahmedabad Waste Management Upgrade,Urban Development,Ahmedabad,Waste Management,2024-03-15,2026-10-31,310000000,220000000,70,67,On Track,960,12300000.0,3.9677419354838714,3,70.96774193548387,1,328358208.95522386,5.92200288878189,9,52.41935483870968,MEDIUM
42,Mumbai Metro Line 11,Transport,Mumbai,Metro Rail,2023-01-10,2028-03-31,2200000000,1380000000,62,53,At Risk,1907,214000000.0,9.727272727272727,9,62.727272727272734,1,2603773584.90566,18.353344768439097,27,77.81818181818181,HIGH
43,Delhi Highway Safety Upgrade,Public Works,Delhi,Highway,2024-01-01,2026-08-31,270000000,235000000,87,83,On Track,973,10900000.0,4.037037037037037,4,87.03703703703704,1,283132530.12048197,4.863900044622952,12,63.592592592592595,HIGH
44,Surat Affordable Housing,Housing,Surat,Housing,2023-12-01,2026-12-31,510000000,440000000,78,69,At Risk,1126,88100000.0,17.27450980392157,9,86.27450980392157,1,637681159.4202899,25.035521454958797,27,100.0,HIGH
45,Pune Smart Traffic Signals,Urban Development,Pune,Smart City,2024-04-01,2026-09-30,130000000,95000000,82,80,On Track,912,-9000000.0,-6.923076923076923,2,73.07692307692307,1,118750000.0,-8.653846153846153,6,42.53846153846153,MEDIUM
46,Chennai Water Desalination Plant,Water Resources,Chennai,Water Infrastructure,2023-05-15,2027-05-31,880000000,720000000,71,63,Delayed,1477,165600000.0,18.818181818181817,8,81.81818181818183,1,1142857142.857143,29.87012987012988,24,100.0,HIGH
47,Bengaluru Peripheral Road,Public Works,Bengaluru,Road Infrastructure,2023-07-01,2027-12-31,1950000000,870000000,46,38,At Risk,1644,129000000.0,6.615384615384616,8,44.61538461538462,1,2289473684.2105265,17.4089068825911,24,59.53846153846155,MEDIUM
48,Jaipur Solar Energy Park,Energy,Jaipur,Solar Energy,2024-02-15,2026-11-30,620000000,390000000,67,65,On Track,1019,-13000000.0,-2.0967741935483875,2,62.903225806451616,1,600000000.0,-3.225806451612903,6,37.45161290322581,MEDIUM
49,Hyderabad Metro Phase 2,Transport,Hyderabad,Metro Rail,2023-10-01,2028-03-31,2100000000,940000000,44,37,At Risk,1643,163000000.0,7.761904761904762,7,44.761904761904766,1,2540540540.5405407,20.978120978120984,21,58.90476190476191,MEDIUM
50,Kolkata Drainage Improvement,Water Resources,Kolkata,Drainage,2024-05-01,2026-10-31,360000000,310000000,78,70,Delayed,913,58000000.0,16.11111111111111,8,86.11111111111111,1,442857142.85714287,23.015873015873016,24,99.27777777777777,HIGH
51,Lucknow Affordable Housing,Housing,Lucknow,Housing,2024-01-15,2027-02-28,580000000,320000000,56,53,On Track,1140,12600000.0,2.1724137931034484,3,55.172413793103445,1,603773584.9056604,4.098893949251792,9,40.93103448275862,MEDIUM
52,Bhopal Road Expansion,Public Works,Bhopal,Road Infrastructure,2023-08-01,2026-12-31,680000000,590000000,85,78,Delayed,1248,59600000.0,8.764705882352942,7,86.76470588235294,1,756410256.4102564,11.236802413272997,21,81.91176470588235,HIGH
53,Kochi Smart Port System,Transport,Kochi,Port Infrastructure,2024-04-15,2027-06-30,520000000,290000000,51,48,On Track,1171,40400000.0,7.769230769230768,3,55.769230769230774,1,604166666.6666667,16.185897435897452,9,52.42307692307692,MEDIUM
54,Nagpur Water Treatment Upgrade,Water Resources,Nagpur,Water Infrastructure,2023-12-15,2026-08-31,350000000,330000000,93,86,Delayed,990,29000000.0,8.285714285714285,7,94.28571428571428,1,383720930.23255813,9.63455149501661,21,84.71428571428571,HIGH
55,Patna Urban Road Network,Public Works,Patna,Road Infrastructure,2024-02-01,2027-01-31,490000000,270000000,50,47,On Track,1095,39700000.0,8.10204081632653,3,55.10204081632652,1,574468085.106383,17.23838471558836,9,52.755102040816325,MEDIUM
56,Gandhinagar Smart Governance Center,Urban Development,Gandhinagar,Smart City,2024-06-01,2026-12-31,175000000,110000000,63,61,On Track,943,3250000.0,1.8571428571428572,2,62.857142857142854,1,180327868.852459,3.044496487119436,6,41.14285714285714,MEDIUM
57,Indore Solar City Program,Energy,Indore,Solar Energy,2023-09-15,2026-11-30,430000000,380000000,88,79,Delayed,1172,40300000.0,9.372093023255813,9,88.37209302325581,1,481012658.22784805,11.863408890197222,27,89.93023255813954,HIGH
58,Bhubaneswar Housing Development,Housing,Bhubaneswar,Housing,2024-03-01,2027-03-31,610000000,310000000,48,45,On Track,1125,35500000.0,5.819672131147541,3,50.81967213114754,1,688888888.8888888,12.932604735883416,9,46.049180327868854,MEDIUM
59,Chandigarh Road Safety Corridor,Public Works,Chandigarh,Road Infrastructure,2023-11-15,2026-10-31,270000000,260000000,92,84,Delayed,1081,33200000.0,12.296296296296298,8,96.29629629629629,1,309523809.52380955,14.638447971781316,24,96.74074074074073,HIGH
60,Ranchi Water Supply Phase 2,Water Resources,Ranchi,Water Infrastructure,2024-05-01,2027-02-28,460000000,240000000,55,51,On Track,1033,5400000.0,1.1739130434782608,4,52.17391304347826,1,470588235.2941176,2.3017902813299194,12,40.43478260869565,MEDIUM
